timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597188450395,177,HomePage,200,OK,Thread Group 1-7,text,true,,15067,116,14,14,http://127.0.0.1:4000/,177,0,2
1597188450397,178,HomePage,200,OK,Thread Group 1-10,text,true,,15067,116,13,13,http://127.0.0.1:4000/,178,0,1
1597188450417,167,HomePage,200,OK,Thread Group 1-11,text,true,,15067,116,12,12,http://127.0.0.1:4000/,167,0,1
1597188450417,187,HomePage,200,OK,Thread Group 1-8,text,true,,15067,116,11,11,http://127.0.0.1:4000/,187,0,1
1597188450429,199,HomePage,200,OK,Thread Group 1-14,text,true,,15067,116,11,11,http://127.0.0.1:4000/,198,0,3
1597188450431,204,HomePage,200,OK,Thread Group 1-3,text,true,,15067,116,11,11,http://127.0.0.1:4000/,204,0,1
1597188450442,257,HomePage,200,OK,Thread Group 1-5,text,true,,15067,116,12,12,http://127.0.0.1:4000/,256,0,2
1597188450451,260,HomePage,200,OK,Thread Group 1-1,text,true,,15067,116,11,11,http://127.0.0.1:4000/,259,0,1
1597188450463,271,HomePage,200,OK,Thread Group 1-6,text,true,,15067,116,10,10,http://127.0.0.1:4000/,270,0,2
1597188450471,266,HomePage,200,OK,Thread Group 1-15,text,true,,15067,116,9,9,http://127.0.0.1:4000/,266,0,3
1597188450478,278,HomePage,200,OK,Thread Group 1-2,text,true,,15067,116,9,9,http://127.0.0.1:4000/,278,0,1
1597188450512,261,HomePage,200,OK,Thread Group 1-16,text,true,,15067,116,9,9,http://127.0.0.1:4000/,260,0,5
1597188450568,233,HomePage,200,OK,Thread Group 1-13,text,true,,15067,116,9,9,http://127.0.0.1:4000/,232,0,4
1597188450529,275,HomePage,200,OK,Thread Group 1-12,text,true,,15067,116,8,8,http://127.0.0.1:4000/,275,0,2
1597188450612,205,HomePage,200,OK,Thread Group 1-18,text,true,,15067,116,7,7,http://127.0.0.1:4000/,204,0,3
1597188450628,202,HomePage,200,OK,Thread Group 1-14,text,true,,15067,116,7,7,http://127.0.0.1:4000/,201,0,2
1597188450650,192,HomePage,200,OK,Thread Group 1-17,text,true,,15067,116,6,6,http://127.0.0.1:4000/,191,0,5
1597188450659,186,HomePage,200,OK,Thread Group 1-19,text,true,,15067,116,6,6,http://127.0.0.1:4000/,186,0,1
1597188450738,126,HomePage,200,OK,Thread Group 1-15,text,true,,15067,116,7,7,http://127.0.0.1:4000/,125,0,2
1597188450773,101,HomePage,200,OK,Thread Group 1-16,text,true,,15067,116,6,6,http://127.0.0.1:4000/,101,0,2
1597188450818,66,HomePage,200,OK,Thread Group 1-18,text,true,,15067,116,6,6,http://127.0.0.1:4000/,66,0,1
1597188450775,112,HomePage,200,OK,Thread Group 1-20,text,true,,15067,116,5,5,http://127.0.0.1:4000/,112,0,1
1597188450843,59,HomePage,200,OK,Thread Group 1-17,text,true,,15067,116,5,5,http://127.0.0.1:4000/,58,0,2
1597188450846,66,HomePage,200,OK,Thread Group 1-19,text,true,,15067,116,4,4,http://127.0.0.1:4000/,65,0,1
1597188450862,71,HomePage,200,OK,Thread Group 1-22,text,true,,15067,116,4,4,http://127.0.0.1:4000/,71,0,3
1597188450888,49,HomePage,200,OK,Thread Group 1-20,text,true,,15067,116,4,4,http://127.0.0.1:4000/,49,0,1
1597188450880,63,HomePage,200,OK,Thread Group 1-21,text,true,,15067,116,3,3,http://127.0.0.1:4000/,62,0,12
1597188450917,38,HomePage,200,OK,Thread Group 1-23,text,true,,15067,116,3,3,http://127.0.0.1:4000/,37,0,2
1597188450934,30,HomePage,200,OK,Thread Group 1-22,text,true,,15067,116,3,3,http://127.0.0.1:4000/,29,0,3
1597188450943,35,HomePage,200,OK,Thread Group 1-21,text,true,,15067,116,2,2,http://127.0.0.1:4000/,35,0,2
1597188450956,28,HomePage,200,OK,Thread Group 1-23,text,true,,15067,116,1,1,http://127.0.0.1:4000/,28,0,1
1597188450991,11,HomePage,200,OK,Thread Group 1-24,text,true,,15067,116,1,1,http://127.0.0.1:4000/,11,0,2
1597188451003,13,HomePage,200,OK,Thread Group 1-24,text,true,,15067,116,1,1,http://127.0.0.1:4000/,13,0,1
1597188451056,17,HomePage,200,OK,Thread Group 1-25,text,true,,15067,116,2,2,http://127.0.0.1:4000/,17,0,1
1597188451060,25,HomePage,200,OK,Thread Group 1-26,text,true,,15067,116,2,2,http://127.0.0.1:4000/,24,0,1
1597188451074,41,HomePage,200,OK,Thread Group 1-25,text,true,,15067,116,3,3,http://127.0.0.1:4000/,40,0,1
1597188451085,47,HomePage,200,OK,Thread Group 1-26,text,true,,15067,116,2,2,http://127.0.0.1:4000/,47,0,2
1597188451105,46,HomePage,200,OK,Thread Group 1-27,text,true,,15067,116,1,1,http://127.0.0.1:4000/,45,0,3
1597188451151,19,HomePage,200,OK,Thread Group 1-27,text,true,,15067,116,1,1,http://127.0.0.1:4000/,18,0,2
1597188451210,29,HomePage,200,OK,Thread Group 1-28,text,true,,15067,116,1,1,http://127.0.0.1:4000/,29,0,16
1597188451240,19,HomePage,200,OK,Thread Group 1-28,text,true,,15067,116,2,2,http://127.0.0.1:4000/,19,0,1
1597188451255,10,HomePage,200,OK,Thread Group 1-30,text,true,,15067,116,2,2,http://127.0.0.1:4000/,10,0,1
1597188451262,13,HomePage,200,OK,Thread Group 1-29,text,true,,15067,116,2,2,http://127.0.0.1:4000/,13,0,1
1597188451266,10,HomePage,200,OK,Thread Group 1-30,text,true,,15067,116,2,2,http://127.0.0.1:4000/,10,0,1
1597188451276,14,HomePage,200,OK,Thread Group 1-29,text,true,,15067,116,1,1,http://127.0.0.1:4000/,14,0,1
1597188451297,10,HomePage,200,OK,Thread Group 1-31,text,true,,15067,116,1,1,http://127.0.0.1:4000/,10,0,3
1597188451308,9,HomePage,200,OK,Thread Group 1-31,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,1
1597188451416,7,HomePage,200,OK,Thread Group 1-32,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188451424,8,HomePage,200,OK,Thread Group 1-32,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188451446,9,HomePage,200,OK,Thread Group 1-34,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,2
1597188451455,18,HomePage,200,OK,Thread Group 1-34,text,true,,15067,116,2,2,http://127.0.0.1:4000/,17,0,2
1597188451460,13,HomePage,200,OK,Thread Group 1-33,text,true,,15067,116,2,2,http://127.0.0.1:4000/,13,0,1
1597188451474,13,HomePage,200,OK,Thread Group 1-33,text,true,,15067,116,1,1,http://127.0.0.1:4000/,12,0,1
1597188451499,8,HomePage,200,OK,Thread Group 1-35,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188451508,7,HomePage,200,OK,Thread Group 1-35,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
1597188451603,9,HomePage,200,OK,Thread Group 1-36,text,true,,15067,116,1,1,http://127.0.0.1:4000/,9,0,3
1597188451612,8,HomePage,200,OK,Thread Group 1-36,text,true,,15067,116,1,1,http://127.0.0.1:4000/,8,0,1
1597188451643,8,HomePage,200,OK,Thread Group 1-38,text,true,,15067,116,2,2,http://127.0.0.1:4000/,7,0,1
1597188451650,9,HomePage,200,OK,Thread Group 1-37,text,true,,15067,116,2,2,http://127.0.0.1:4000/,9,0,1
1597188451660,9,HomePage,200,OK,Thread Group 1-37,text,true,,15067,116,2,2,http://127.0.0.1:4000/,9,0,1
1597188451651,20,HomePage,200,OK,Thread Group 1-38,text,true,,15067,116,1,1,http://127.0.0.1:4000/,19,0,1
1597188451693,7,HomePage,200,OK,Thread Group 1-39,text,true,,15067,116,1,1,http://127.0.0.1:4000/,7,0,1
